Specific Bean Origin or Bar Name,Specific Bean Origin or Bar Name_idx
"Cuana, 2008, Ven., Indonesia, Ecuad.",906
Kuruba,907
Akosombo,908
"Porcelana, Pariguan",909
Orinoco,910
Loma Sotavento,911
"Cuana, 2013, Africa, Carribean, C. Am.",912
Tobago,913
"Acarigua, w/ nibs",914
Peruvian Amazon,915
Vinces,916
"Xoconusco, Chiapas, Coop CASFA",917
"Almendra Blanca, Blanco Marfil, Jimenez Garcia",918
"Uranga, Chiapas, Jimenez Garcia farm",919
Trinidad-Tobago,920
"Madagascar, Batch 59/100",921
"Vietnam, Batch 50/100",922
"Cuba, Batch 59/100",923
"Ivory Coast, Batch 56/100",924
"Peru, Batch 51/100",925
"Bahia, Batch 148",926
"Sao Tome, Batch 151",927
"Lam Dong, Batch 153",928
"Peru, Ecuador, Venezuela",929
Nueva Guinea,930
San Pedro Sula,931
"Nicaliso, Bocay",932
"Tranquilidad, Itinez Province",933
"Chucuri, finca los lagos el Carmen",934
Maranura,935
Beniamo,936
"La Red, Guaconejo",937
"San Juan Estate, Gran Couva",938
Liberia,939
"Maya Mtn, Batch 18, Heirloom",940
"La Masica, Batch 7, FHIA",941
Ashanti,942
"Bachelor's Hall, batch 0001",943
"Tranquilidad, beniano",944
"Satocao, limited ed., batch 2",945
"Maui Kuia E., Hawaii, 2018-2019 h., batch 1",946
"Purple Haze, Venezuela, Dom. Rep.",947
"The Other One, Grand Cru",948
Perfect Illusion,949
"Bolivia, Wild Thing",950
Wild Thing,951
La Selva,952
Excellence (US Version),953
"Gola Rainforest, batch 920",954
"Anamalai, batch 970",955
"Tien Giang, batch 970",956
"O'ahu Island, Opaeula Estate, Nene, CG Exclusive",957
"O'ahu Island, Opaeula Estate, Ele'ele",958
"Hawai'i Island, Hawaiian Crown, Kona Vanilla",959
"O'ahu Island, Haleiwa E, 2014",960
"O'ahu Island, Haleiwa, Lonohana E., Kanahiku",961
Medalla,962
Sumatra,963
"Rio Purus, 2016 Harvest",964
"Rio Acara, Wild Amazon",965
Wild Jurua (limited edition for Caputo's),966
"Selva, Colombia, Ecuador",967
"Macondo, Colombia, Ecuador",968
"Misterio, Colombia, Ecuador",969
Santander,970
"Kerala State, GoGround, batch 88",971
"Bejofo E., Sambirano, batch 115",972
"Kilombero Valley, batch 74",973
"Semuliki Forest, Latitude Trading Co, batch 100",974
"Cote d'Ivoire, batch 83",975
"Chiapas, Triple Cacao",976
Dominican,977
"Hawai'i Island, Hamakua Coast, Kokoleka",978
"Criollo, Hawaii",979
Kaua'i Island,980
"Hawai'i Island, Choobua, Kona",981
"Xocunusco, Chiapas, Pichucalco",982
Africa,983
Sambirano 2006,984
Mora Mora 2006,985
"Davao, Mt. Talamo foothills",986
"O'ahu Island, N. Shore, Waialua Estate w/ nibs",987
"Ecuador, batch 1212",988
Colombia,989
"Hawai'i Island, Hamakua, Hawaiian Crown, b. 176",990
"Piura, batch 173",991
"Liberia, batch 174",992
"O'ahu Island, Winward,Maunawili district, b. 151",993
"O'ahu Island, Waiahole, b. 182",994
Markham Valley,995
"Hawai'i Island, Hilo and Kona regions",996
Grand Cru Dominican Republic,997
Grand Cru Ecuador,998
Grand Cru Ghana,999
Kolumbia,1000
"San Juan Estate, Cherry Blossoms at Night",1001
"Kakoa Kamili, Both Man & Bird & Beast",1002
"ROIG, 2014",1003
"Maranon, 2014",1004
"A case of the Xerces Blues, triple roast",1005
"Tumbes, Dear Mr. Finley, 2014",1006
Le Chocolat Chaud,1007
"Ben Tre, Surprise Valley",1008
"Lam Dong, ""Red Poppy""",1009
"""Peace of Wild Things""",1010
"Tabasco, ""Late for the Train"", batch 12184",1011
Zorzal Reserve,1012
Cusco,1013
"San Martin, Allima coop",1014
"Piura, Norandino coop, cacao blanco",1015
"Alto Beni, Walikewa",1016
"Bahia, Catongo",1017
Cacao Nib Crunch,1018
"Pisa, batch 58",1019
Ba Ria,1020
Dong Nai,1021
"Tien Giang, Gao Co-op",1022
"Tan Phu Dong, Treasure Island",1023
"Tan Phu Dong Island, Heart of Darkness",1024
"Dak Lak, Batch 2451",1025
"Dak Nong, Tam Farm",1026
"Matina 1-6, prototype",1027
"Ivory Coast, prototype",1028
"Nigeria, prototype",1029
Ocumare de la Costa,1030
"Dominican Republic, Coop",1031
"Chuao, Light Roast",1032
"Chuao, Med. Roast",1033
"Chuao, Dark Roast",1034
Brooklyn Blend,1035
Moho River,1036
"La Red de Guanconejo, N. Highlands coop",1037
"Shake Shack, Peru, Mad., Dom. Rep.",1038
"French Laundry 20th Anniversary, Peru, Belize",1039
"Malekula P., 2013",1040
"PNG, Vanuatu, Mad; 2013 h.",1041
"Somia, 2013",1042
"Kulili P., 2013",1043
"Kuia Estate, Hawaii, lot 083122",1044
"Morropon, Norandiono Coop, Piura",1045
"Hawai'i Island, Big Island, Mauna Kea",1046
"Dak Nong, Marou Cacao",1047
"Cahabon E., ""Adioesmac""",1048
"Nicaragua, w/ inbs",1049
"Camino Verde, Duran Region",1050
"Oko Caribe, El Cibao, 2018 Harvest",1051
"Kablon Farms, Mindanao Island, 2018 harvest",1052
"Kokoa Kamili, 2018 harvest, Mbingu Village",1053
"La Tronca, Matagalpa",1054
El Salvador,1055
"Fazenda Bonanca, Bahia",1056
"Fazenda Sempre Firme P., Bahia, batch 7",1057
"Akesson Estate, batch 10",1058
"Patovaki, Paspaskato Is",1059
Tenaru,1060
South America,1061
Carre Amer,1062
Carre Grand Noir,1063
Noir Infini,1064
Tamarina,1065
Los Ancones P.,1066
Mangaro P.,1067
Maralumi P.,1068
"Carenero Superior, Concepcion",1069
Vila Gracinda,1070
"Chiapas, Mokaya P.",1071
El Jardin,1072
Riachuelo Plantation,1073
La Laguna Plantation,1074
"Balinese, Java",1075
San Juan Estate,1076
"Matagalpa, Cacao Bisiesto",1077
"Patanemo, Epoch, Donaldo",1078
"Oko Caribe, hispaniola, 2017 harvest",1079
"Maranon, 2017 harvest",1080
"San Jose, Toledo, 2017 harvest",1081
"Los Rios, Arriba, 2017 Harvest",1082
"Kaithapara Village, Idukki, Kerala, 2017 H.",1083
"Fazenda Leolinad, Bahia, 2017 H.",1084
Kaithapara,1085
Ambanja,1086
"Piura Gran Blanco, Sisyu & Kiriyana Phoenix",1087
"Ecuador, lot# 181220",1088
"Acul-du-Nord, 2015",1089
India,1090
"Bahia, Fazenda Venturosa",1091
"Puerto Rico, 2018 harvest",1092
"Umoho R., Toledo District, San Felipe",1093
Toledo District,1094
"Toledo District, w/ nibs",1095
"Kombone Village, 2018 Harvest",1096
Zorzal Estate,1097
"Bejofo, batch 7",1098
"Zorzal, batch 8",1099
Indonesia,1100
Nueva Waslala,1101
"Kablon, lot 07 (made for Etat de Choc)",1102
Papaua New Guinea,1103
"Ucayali, batch 9",1104
"Esmeraldas, batch 9",1105
"Finca La Rioja E., Cacahoatan, Chiapas",1106
"Oko Caribe, batch 1 SRB",1107
"Kokoa Kamili, batch 1 SRB",1108
"Ambanja, batch 1 SRB",1109
"Tien Giang, batch 1 SRB",1110
"Costa Rica, Oscuro",1111
"Chuao, lot 0077",1112
"Barinas, lot 0077",1113
"Rugoso, nanolot for Cacao Review",1114
"Finca Concepcion, nano-lot",1115
Criollo Blend,1116
"Hispaniola, batch 170308",1117
Manickchand Estate,1118
"Los Rios, Dec. 2018 H., Batch 2",1119
Chazuta,1120
"Ben Tre, batch VNBT186",1121
"Kokoa Kamili, Kilobmbero batch TK186",1122
"Matasawalevu, batch FJMA1",1123
"Sierra Nevada, batch CSN192",1124
Moho Valley,1125
"La Dalia, Matagalpa,cacao Bisesto,green label",1126
"La Patriota, cacao Indio, purple label",1127
"Punta Galera, cacao Nacional, gold label",1128
"Ecuador, 2013",1129
"Canoabo, 2013, batch 2642",1130
"Sambirano Valley, 2012, batch 3062",1131
"Ghana, 2013, batch 3581",1132
"Akwa Ibom, 2017 h., batch 19762",1133
"Lam Dong, 2016 h., batch 20111",1134
Fazenda Leolinda,1135
"Pangoa, w/ nibs",1136
"Pangoa, 2018, batch 1584 - E",1137
Virunga,1138
"PNG, Devotion, batch 96, gogol naru",1139
"PNG, Revolution, WAG1",1140
"PNG, Voodoo, batch 95",1141
"PNG, Nib Bar, WAG1",1142
Sang Yum Coop,1143
Cahabon,1144
Bundibugyo,1145
Idukki Hills,1146
Arhuaca,1147
"Tranquilidad, Wild",1148
"Elegant Asian Blend"", Vietnam, India",1149
Hawaii Kona,1150
"Sylvestre, Oialla",1151
"Dark 67, Ghana, Domin. Rep",1152
"Dark 75, Ghana, Domin. Rep",1153
Dominican Republic prototype,1154
Ghana prototype,1155
Carribean-Raw,1156
Carribean,1157
"Kakao Kamili, Kilombero Valley",1158
"Sambirano, Northern Ambanja, 2018 Harvest",1159
"Ben Tre, Mekond Delta, 2018 H.",1160
"Kokoa Kamili, Kilombero Valley, 2018 H.",1161
"Tumaco, 2019 Harvest, b. 3/8-2",1162
"San Ignacio, 2020 Harvest, Cajamarca, b. 6/10-1",1163
"Piura, Gran Blanco, 2019 Harvest, b. 7/9-2",1164
"Bejofo Estate, 2019 Harvest, b. 4/6-2",1165
Nicaraqua,1166
Caribe,1167
Mindo,1168
"D.R. Congo, Cru Virunga",1169
"Piura, Apotequil, ""Porcelana"" 72hr c.",1170
"Alto Beni, Wild Harvest, Itenez R., 60hr c.",1171
"Alto Beni, Wild Harvest, Itenez R. 24hr c.",1172
Papua Kerafat,1173
"Grand Cru Blend No.1, 5 yr. Anniversary Ed",1174
"Hawai'i Island, Kona Estate, Hualalai Mtn",1175
"Hawai'i Island, Kona Grand Cru E.",1176
Raw,1177
Nube- prototype,1178
"Ecuador, raw",1179
Garaua,1180
Cumbia,1181
Montubia,1182
Tangara,1183
"Sierra Nevada, Tutu Iku",1184
"Alto Beni, Palos Blancos",1185
Duo- Gran Couva & Camino Verde,1186
"Silvestre, La Paz, Beni",1187
"Maranon, batch 28",1188
"Alto Beni, batch 100518",1189
Chilique,1190
"Oko Caribe, batch 4",1191
"Lachua, Q'egchi families",1192
"Rio Caribe, Paria Penninsula",1193
"Piura, Choc. Garage Exclusive",1194
"Madagascar, w/ shell",1195
Fiji,1196
"Ucayali, batch PR-17",1197
"Kendem Lembu, Java",1198
"Ocumare, Puerto Cabello, Venezuela",1199
"Porcelana, Tabasco, Limited Ed.",1200
"Fleur de Cacao, Venezuela/ Ghana",1201
"Los Rios, Puerto Romero, Equateur",1202
"Cabosse, Venezuela, Java",1203
"Sambirano, Ambanja, Madagascar",1204
"Bahia Brazil, Fazenda Sao Pedro",1205
"Porcelana, Tabasco, Finca La Joya",1206
"Peru, Las Pampas P.",1207
"Haut Penja, w/ nibs",1208
"Sambirano, Rieur, Ambanja",1209
"Haut Penja, Transporte",1210
"Hainan, lot 218012",1211
"Dak Nong, batch 405",1212
"Kokoa Kamili, Kilombero Valley, batch 304",1213
Wampusirpi Region,1214
Namau Village,1215
Akesson Estate,1216
"Camino Verde P., Balao, Guayas, ""Fruity""",1217
"Camino Verde P., Balao, Guayas, ""Floral""",1218
Tenor,1219
Nicalizo,1220
"Tranquilidad, ""Wild Bolivia""",1221
Zorzal Plantation,1222
"La Red, 2011",1223
"Peru, batch 1",1224
"Upala, Batch 12",1225
"San Martin, Amazonian Highlands",1226
"Upala, Batch 18",1227
Upala w/ nibs,1228
"Cuyagua, 2013",1229
"Oko Caribe, Duarte Province, 2016 H.",1230
"Semuliki Forest, batch 20035",1231
"Ucayali, batch 200105",1232
"Caracas, Venezuela and Ghana",1233
"Monte Alegre (Itacare), Brazil",1234
"Djakarta, Java and Ghana",1235
Fortissima,1236
Claudio Corallo w/ nibs,1237
Dominican Republic-Organic,1238
"Sambirano Valley, Le 100%",1239
"Monte Alegre, Diego Badero",1240
"Porcelana, S. of Lake Maracaibo",1241
Papouasie,1242
Barlovento,1243
Nosy Be Isle.,1244
Sao Tome & Principe,1245
Tanzanie,1246
"Kokoa Kamili, 2018 Harvest",1247
Choba Choba,1248
"Patanemo, Carabobo, Tisano family, b. 3211",1249
Guantupi River,1250
"Akessons Estate, Sambirano, Ambanja, b. 3212",1251
"Crayfish Bay Estate, 2014",1252
"Akesson's, batch 4411",1253
"Chocoan Rainforest, Teroro Escondido, ESM",1254
"Bachelor's Hall, batch 6911",1255
"Guadalcanal, Tenaru, David Natei F.",1256
Philippines,1257
"Bagua, Amazonas",1258
"Chunchu, Ayacucho, lot 208",1259
"Morropon, Piura, AoC Golden Bean 2018",1260
"Piura, Gran Blanco, lot 400",1261
"Chaska, Junin, lot 425",1262
"Mexico, Lot 28022016",1263
"Uranga, Lot 22032016",1264
"Amazon Basin Blend- SMartin,Pangoa,nacional",1265
"Pisa, unroasted",1266
"Pisa, roasted",1267
Suchitepequez E.,1268
"San Martin, Batch 2",1269
"Chulucanas, Batch 1",1270
"Tumbes, Batch 2",1271
Soconusco,1272
"Kokoa Kamili, Kilombero batch IT7507",1273
"El Gran Sapasoa, batch IP7487",1274
"Oko Caribe, San Fran. De Macoris, El Cibao",1275
"Suhum Region, ABOCFA, b. IG7720",1276
El Oro,1277
"Los Rios, Vinces",1278
"Camino Verde P., 2012, Balao, Guayas, batch 1",1279
"Gran Couva, 2012 harvest, batch 001",1280
"Sambirano, 2011 harvest, batch 1",1281
"Maranon, Cajamarca, batch 002",1282
"Toledo District, Maya, batch 001",1283
"Camino Verde P., Balao, Guayas, 2014, b. 001",1284
"Mid Mountain, 2014, batch 002",1285
"Camino Verde P., Balao, 2015 harvest, batch8",1286
"La Colonia, Enliven Cacao",1287
"Jagassar Estate, Moruga Region, microlot",1288
"Sambirano, 2019 h., batch 7",1289
"Kokoa Kamili, Morogoro",1290
"La Dorado, light roast",1291
"Tapanti, light roast",1292
Maleku,1293
Madagascar w/ nibs,1294
"Gru Grococo, St. Andrews",1295
"Hispaniola, 2008",1296
"Sambirano, 2008",1297
"Silvestre, Batch 1, 2011",1298
"Akessons Estate, Sambirano, 2013",1299
"Hispaniola, 2013",1300
"Bachelor's Hall E., St. Thomas Parish, batch 1",1301
"Silvestre, Batch 7, 2013",1302
"Tranquilidad, Batch 1",1303
"Caranero, Choc. Garage Exclusive",1304
"La Masica, Batch 1, FHIA Research Center",1305
Principe,1306
"Aragua, Trincheras",1307
"Rio Caribe Superior, Paria Penninsula, b. R380",1308
"Sambirano, Akesson Estate, batch MT3802",1309
"Piura, Norandino, Gran Blanco Nativo, b. PB4704",1310
"Pisa, lot 03HA",1311
"Nugu, lot 02N",1312
"Sumba, lot 02IN",1313
Kokoa Kamili. Lot 73T,1314
100 percent,1315
Samana,1316
Malgascio,1317
"Carribean, Arawak",1318
Latino,1319
"Midnight, Central and S. America",1320
"Twilight, Central and S. America",1321
Bahia Superior,1322
Rio Arriba,1323
"H. San Jose, Los Rios, L300817",1324
Colombian Semi Dark,1325
Colombian Dark,1326
Colombian 2008,1327
Colombian w/ nibs,1328
Extra Dark,1329
"Kumasi Sambirano, Ghana & Madagascar",1330
Jamaica a l'ancienne,1331
Bittersweet,1332
"Las Islas, Carribean(DR/Jam/Tri)",1333
Nibby,1334
Antilles (Trin/Gren/DR/Ven),1335
"Finisterra, Ven., Trinidad, Mad.",1336
Tome Acu,1337
Asante,1338
Camahogne,1339
Amina,1340
San Juan de Cheni,1341
Wampusirpi,1342
Semuliki Forest,1343
Gewan Gangaram,1344
"Belize, 2013",1345
"Hawai'i Island, Hilo",1346
"Hawai'i Island, Hilo, w/ added cocoa butter",1347
Tingo Maria,1348
Oro,1349
Oscuro,1350
Maya Belize,1351
"Porcelana, Colombia, Amazonas",1352
"Trintade, Sao Tome",1353
"Bahia, Scavina",1354
"Somia Plantation, 2012",1355
"Camino Verde P., Balao, Guayas, 2012",1356
Lachua w/ cane sugar,1357
"Lachua w/ maple sugar, batch 5",1358
Wild Bolivia,1359
Kokoa Kamili Coop,1360
"Esmeraldas, Salazar Farm",1361
"Soconusco, Rayen Cacao Co-op",1362
"Anamalai, Pollachi City",1363
"Nicaragua, lot N510",1364
"Maranon, batch 2",1365
"Papua New Guinea, triple roast, batch 1",1366
"Chuao, batch 3",1367
"Chimelb, Lanquin, Alta Verapaz, b-GUA001",1368
"Guasare, La Sierra de Perija, batch gua001",1369
"Maya Mtn, Moho R., Toledo D.",1370
Australia,1371
"Porcelana, Sorotaima,Machiques,batch pcl001",1372
"Oko Caribe, DOR005",1373
"Pisa, batch HA102",1374
Sulawesi,1375
"Ecuador, Batch 1",1376
"Castillo, Hispaniola, unroasted",1377
"Kablon Farms, Red Pod, 2018 harvest",1378
Solomon Island,1379
Solomon Island w/ nibs,1380
Wasatch,1381
Kilombero,1382
"Dak Nong, Lot 103120",1383
"Black Science Blend 1, DR, Ecuador, Peru",1384
"Grenada, Black Science",1385
"Alto Beni, Wild Bolivian",1386
"Elvesia P., Black Science",1387
"Three Amigos(Chuao, Wild Bolivia, D.R.)",1388
Peruvian,1389
Noula Coop,1390
"Cahabon Region, batch Tri1",1391
"Eastern Promises, Mad., Java, PNG, batch EP1",1392
O'ahu Island,1393
"Carenero Superior, batch CS2",1394
"Dual Origins, Sambirano, Elvesia, batch SD06",1395
"Dancing in Your Head, 5 bean blend",1396
"Apurimac, El Quinacho Co-op",1397
Chef's Blend,1398
"Orinoco, batch ORI 1",1399
"Rizek Cacao, batch DR 12",1400
Sangre Grande P.,1401
"Crazy 88, Guat., D.R., Peru, Mad., PNG",1402
"Maracaibo, El Vigia",1403
"Equator, Peru, Dom. Rep",1404
"Bachelor's Hall E., St. Thomas Parish, batch bh1",1405
"Little Big Man, Madagascar & Ecuador",1406
"Espiritu Santo, 'Smoke Monster', batch sm1",1407
CSB Chama,1408
"Camino Verde, Black S., batch cvu6030.0",1409
"Oko Caribe, Duarte P., Collab w Chocosol",1410
"Sambirano Valley, Black Science, B-60307.0",1411
"Bahia Black, batch bra50722.1",1412
"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1413
"Abstract S. w/ Jamaica nibs,batch abs60323.0",1414
"Tien Giang, Black S., batch VIT60420.0",1415
"Pisa, Creole Gardens",1416
"Bejofo, Sambirano V., Akesson E.",1417
"Choroni, Aragua, Finca Torres Farm",1418
Dream Machine (Mad./Dom.Rep./Ecuador),1419
"Bejofo, Sambirano V., Akesson, b. 6116-BEJ210324",1420
"Guasare, Rosario de Perija, b.4279-GUA201123",1421
"Ben Tre, batch BEN210924 8983",1422
"Hawai'i Island, Big Island",1423
AgroCriso Plantation,1424
"Dominican Republic, lot D82R",1425
"Ecuador, lot E432314L",1426
"Madagascar, lot M0403R",1427
"Maya Mountain, Toledo District, batch 12-1",1428
"Bejofo, Akesson, batch 10-1",1429
"Bundibugyo, Semuliki Forest, batch 9-1",1430
"Bolivar, Arriba",1431
Cacao Verapaz,1432
Rio Tuma,1433
"Bahia, Agri-Forestal Plantation, 2010",1434
"Ecuador, Midnight Dark, batch 600414",1435
"Ecuador, Twilght Dark, batch 500414",1436
"Wild Bolivia, batch 260",1437
"Samar, East Visayas region",1438
Sri Lanka,1439
"Amazonas, Wild Cacao",1440
Crudo,1441
Millot Plantation,1442
"Ayacucho, ""El Guinacho""",1443
Cacao Blanco,1444
"Autumn, Primary Harvest, 2012",1445
"Spring, Secondary Harvest, 2012",1446
Ambolikapiky,1447
"Ben Tre, Mekong Delta",1448
"Fazenda Sempre Firme, Bahia",1449
"Winak, Sumaco",1450
"Chiapas, Lacandon Jungle, batch 95",1451
"Costa Rica, batch 83",1452
"Peru, batch 96",1453
"Paramaribo, batch 20160043-01",1454
"Chuao, batch 20170714C",1455
"Haiti, batch 2020SEP",1456
"Dark, Stone Ground",1457
Chiapan,1458
Chocolatey-beta,1459
Fruity-beta,1460
Nutty-beta,1461
Citrus-beta,1462
TCHOPro 60.5,1463
TCHOPro 68,1464
"Peru, Ecuador",1465
Capistrano,1466
Concepcion,1467
San Jose,1468
Espada,1469
"Bayou Blend, Ecuador, Mad., PNG",1470
Aranama,1471
Capistrano*,1472
Concepcion*,1473
"La Bahia, w/ cane juice",1474
"La Bahia, w/ cane sugar",1475
Presidio,1476
"Bahia, Floresta Azul,Good Friends Reserve#3",1477
"Ecuador, batch 6-5-15",1478
"Madagascar, batch 6-5-15",1479
"Uganda, batch 6-3-15",1480
"Venezuela; Barinos, Merida, Tachron",1481
"Ghana, Kumasi",1482
"Ghana, Panama, Ecuador",1483
Congo w/ nibs,1484
"Piura Select, Cacao Blanc",1485
"Costa Esmeraldas, 2017 h., batch 28",1486
"Meta, lot 052",1487
"Putumayo, lot 021",1488
"Belize, med roast",1489
"Galapagos, Santa Cruz Island, 2018 h.",1490
"Roxborough, Tobago",1491
"Wild Bolivian, Jungle Love",1492
Acul du Nard,1493
"Alto Beni, 2016",1494
Maya Mtn.,1495
"Conacado, Manifesto",1496
La Colonia,1497
"Piura, Gran Chilique",1498
"Dak Lak, batch 0A08",1499
"Copan, batch 0A03",1500
"Ambanja, Tsara Valley",1501
"Palos Blancos, batch 97",1502
"Dominican Republic, batch 85",1503
"Madagascar, lot 137",1504
"Cedeno, lot 271",1505
"San Francisco de Macoris, Nourish",1506
"Madagascar, Sassy Bar",1507
"Tanzania, Party Bar",1508
"Sur del Lago, Merida",1509
Nugo,1510
"Maya Mountain, Toledo, batch 91",1511
Gran Couva 2005 P.,1512
"Carribean, Caraibe",1513
"Porcelana, Maracaibo, Palmira P. 2005",1514
"Sambirano, Ampamakia 2005, Millot P.",1515
"Guanaja, South America",1516
Le Noir Extra Amer,1517
"Abinao, West Africa",1518
"Le Noir Amer, West Africa",1519
"Araguani, Venezuela, Carribean",1520
"Porcelana, Maracaibo, Palmira P. 2006",1521
Chuao 2002 P.,1522
Manjari,1523
Nyangbo,1524
Tainori,1525
Alpaco,1526
Caraque,1527
"Porcelana, Pedegral",1528
"Otucan, Grand Cru",1529
"Andoa, Grand Cru blend",1530
"Loma Sotavento, 2013",1531
"Piura, Illanka, Quemazon",1532
"Oriado, Peru, Dom. Rep",1533
Manhattan,1534
Napa,1535
Palos Blancos,1536
Palos Blancos + nibs,1537
Alta Verapaz,1538
San Francisco de Macoris,1539
"Classic, Central and S. America",1540
"Dark, Central and S. America",1541
Chimelb,1542
"""Classic Dark"", Ecuador-Guatemala-Dom. Rep.",1543
Costas Esmeraldas,1544
"Ben Tre, Mekong Delta, MoCay",1545
"Los Rios, Rancho Grande 2004/2007",1546
"Los Rios, Rancho Grande 2007",1547
Moho River Valley,1548
"Pisa, Adul de Nord",1549
"Piura Blanco, Norandino",1550
Samoa,1551
"Kablon Farms, b. KP7417211821",1552
"Semuliki, 2017-18 h., batch SU72conche22212621",1553
"La Masica, 2015 harvest, b. LH74HORZConcheV2",1554
"Garcia Estate, 2019 harvest, b. GT722162021820",1555
Amazonas w/ nibs,1556
Hacienda Las Trincheras,1557
"Java, Indonesian Black",1558
Los Llanos,1559
"Guasare, Zulia Prov., 2015, batch 124",1560
"Wild Beniano, 2016, batch 128, Heirloom",1561
"Ghana, 2013, batch 129",1562
"Maya Mountain, 2017, batch 255",1563
"Sambirano, batch 1",1564
"Camino Verde P., Balao, Guayas, batch 1",1565
"Gran Couva, batch 1",1566
"Maranon, Cajamarca",1567
"Kokoa Kamili, batch 23",1568
Hacienda San Jose,1569
"Kokoa Kamili, Kilombero Valley, batch 1",1570
"San Martin de Pangoa, batch 46",1571
"Matagalpa, batch 57",1572
"Hispaniola, batch 170104",1573
"Sambirano, batch 170102",1574
Rio Claro,1575
"Tranquilidad, wild Bolivia",1576
"Papua New Guinea, Batch 2",1577
"House Blend, Batch 2",1578
"Dominican Republic, Batch D2",1579
"Madagascar, Batch 2",1580
"Peru, Batch 1",1581
"Belize, Batch 2",1582
UNOCACE,1583
"Millot P., Ambanja",1584
Tokiala,1585
"Tranquilidad, Baures",1586
Goddess Blend,1587
"Jeru Antiguo, batch jan705, 2 turns",1588
"Kilimamwenza, Ituri Province",1589
"El Castillero, batch ca1705, 3 turns",1590
"Brazil, Mitzi Blue",1591
Kerala State,1592
"Satipo Pangoa region, 16hr conche",1593
Huiwani Coop,1594
El Ceibo Coop,1595
"Kongo, Highlands",1596
"Bocas del Toro, Cocabo Co-op",1597
Amazonas Frucht,1598
"Satipo Pangoa region, 20hr conche",1599
"Indianer, Raw",1600
"Loma Los Pinos, Yacao region, D.R.",1601
"APROCAFA, Acandi",1602
"Dry Aged, 30 yr Anniversary bar",1603
Mountains of the Moon,1604
